movieId,title,genres,keywords
tt0479884,Crank,"Action, Thriller, Crime","assassin, helicopter, hitman, poison, adrenaline, fistfight, swimming pool, revenge, shootout, motorcycle, drugs, cell phone, pharmacy, defibrillation, hospital gown, emergency room, aftercreditsstinger, sweatshop, epinephrine"
tt1327194,The Lucky One,"Drama, Romance","husband wife relationship, based on novel or book, iraq war veteran, photo, kennel, playing chess, bomb explosion"
tt5715874,The Killing of a Sacred Deer,"Drama, Thriller, Mystery","husband wife relationship, hostage, psychopath, insanity, blackmail, surgeon, paralysis, dysfunctional family, paranormal, revenge, hospital, cruelty, brutality, cafe, cardiologist, recovering alcoholic, open heart surgery"
tt7504726,The Call of the Wild,"Adventure, Family, Drama","based on novel or book, gold rush, dog, sled dogs, yukon, canada, 19th century, pets"
tt0077416,The Deer Hunter,"Drama, War","vietnam veteran, small town, suicide, vietnam, post-traumatic stress disorder (ptsd), escape, pennsylvania, usa, saigon, friends, russian roulette, wedding, deer hunting, steel worker, anti war, revolver, drunkenness, viet cong, romantic triangle, friends love same woman, prisoner of war camp, slavic american"
tt2709692,The Grinch,"Animation, Family, Comedy, Fantasy","holiday, surrealism, remake, based on children's book, christmas, illumination"
tt0448134,Sunshine,"Drama, Science Fiction, Thriller","space marine, saving the world, bomb, sun, space suit, sunlight, space travel, space mission, earth, solar energy, expiration, 2050s, excited"
tt6673612,Dolittle,"Family, Fantasy, Adventure","ship, island, based on novel or book, victorian england, doctor, based on children's book, animal, veterinary, talking to animals, voyage"
tt0027977,Modern Times,"Comedy, Drama","factory, ambulance, invention, tramp, great depression, industrial revolution, slapstick comedy, black and white, machine, pardon, guilty, silent film"
tt0183649,Phone Booth,Thriller,"sniper, new york city, psychopath, terrorism, publicist, one location, affair, phone booth"
tt0452623,Gone Baby Gone,"Crime, Drama, Mystery","robbery, corruption, based on novel or book, police, kidnapping, boston, massachusetts, blackmail, detective, drug addiction, murder, conspiracy, gang, pedophile, drugs, alcoholic, addict, child kidnapping, neo-noir"
